iter	MultiClass
0	1.323939744
1	1.268773443
2	1.258177031
3	1.244503253
4	1.241748435
5	1.232576208
6	1.222727693
7	1.219553743
8	1.212494381
9	1.209917124
10	1.207121891
11	1.201955612
12	1.198763765
13	1.193929294
14	1.191128147
15	1.189455137
16	1.186090497
17	1.184662954
18	1.179170638
19	1.175626818
20	1.171647693
21	1.167958936
22	1.167158498
23	1.164757577
24	1.162415256
25	1.158018906
26	1.155438597
27	1.153472776
28	1.149991237
29	1.142175717
30	1.139482695
31	1.13777686
32	1.134011376
33	1.131077175
34	1.128641319
35	1.127976374
36	1.123095546
37	1.121241063
38	1.118888282
39	1.117265412
40	1.115331062
41	1.114493366
42	1.110983245
43	1.109945282
44	1.108487979
45	1.107496445
46	1.10450263
47	1.104009001
48	1.09861418
49	1.096404342
50	1.095063007
51	1.093575725
52	1.091500351
53	1.087989805
54	1.085451635
55	1.084166492
56	1.082180008
57	1.078729748
58	1.075568886
59	1.072795155
60	1.071285647
61	1.070266494
62	1.069122216
63	1.067514674
64	1.065936119
65	1.062904933
66	1.061297569
67	1.06027781
68	1.057877381
69	1.057180038
70	1.055115102
71	1.053832526
72	1.052919767
73	1.051591736
74	1.05071758
75	1.048633753
76	1.047358984
77	1.045415057
78	1.044448873
79	1.041472093
80	1.040749441
81	1.038734951
82	1.036552188
83	1.035663678
84	1.034095866
85	1.032844528
86	1.030027945
87	1.029523039
88	1.028961091
89	1.026822183
90	1.025884448
91	1.024422963
92	1.022719546
93	1.021832351
94	1.020822538
95	1.019213694
96	1.012759286
97	1.009402714
98	1.007739079
99	1.00569626
100	1.005018503
101	1.003652005
102	1.002606027
103	1.001255251
104	0.9992939379
105	0.9973674869
106	0.9957709367
107	0.9943399451
108	0.9928038095
109	0.9917969688
110	0.9894801949
111	0.989160598
112	0.9884470877
113	0.9870572413
114	0.9861591029
115	0.9858120666
116	0.9844347499
117	0.9829735212
118	0.9820332321
119	0.9804357997
120	0.9787679565
121	0.9765081694
122	0.9754327239
123	0.9742746178
124	0.9713119734
125	0.969918519
126	0.9676894309
127	0.9656270413
128	0.9649824899
129	0.9648254121
130	0.964448433
131	0.962896905
132	0.962224454
133	0.9610384025
134	0.9599088223
135	0.9587187897
136	0.9571354887
137	0.9565195916
138	0.9558497118
139	0.9542837579
140	0.9531893126
141	0.9516641644
142	0.9508420418
143	0.9482592044
144	0.9457457868
145	0.9441098109
146	0.9427411165
147	0.9418183323
148	0.9408129543
149	0.939954857
150	0.938357337
151	0.9373936265
152	0.936626785
153	0.935630567
154	0.9335833322
155	0.9329387983
156	0.9315953543
157	0.9304132624
158	0.9275266241
159	0.9265729689
160	0.9242492505
161	0.9232428377
162	0.9217860499
163	0.9196132363
164	0.918164343
165	0.9152970307
166	0.9146332888
167	0.9124728618
168	0.9108810969
169	0.9088304882
170	0.9077663595
171	0.9064651085
172	0.9053148976
173	0.9049535561
174	0.9031078731
175	0.9023790797
176	0.9021196582
177	0.9001310141
178	0.8997187114
179	0.8990760291
180	0.8975821562
181	0.8949658603
182	0.893429201
183	0.8912041211
184	0.8898842297
185	0.8889906374
186	0.8880816896
187	0.8872277039
188	0.8865847937
189	0.8849850054
190	0.8829739418
191	0.8810274703
192	0.8792441477
193	0.8784357238
194	0.8780406967
195	0.8770761988
196	0.8748872272
197	0.8733086159
198	0.8729332891
199	0.8708146802
