iter	Passed	Remaining
0	8	1675
1	18	1785
2	23	1546
3	26	1276
4	28	1100
5	30	988
6	32	894
7	34	820
8	36	766
9	38	723
10	41	708
11	43	684
12	45	658
13	48	638
14	50	616
15	51	596
16	53	579
17	55	560
18	57	543
19	58	529
20	60	514
21	62	502
22	63	490
23	65	479
24	66	467
25	68	459
26	70	451
27	72	443
28	73	435
29	75	428
30	77	422
31	79	416
32	80	409
33	82	404
34	84	399
35	86	394
36	88	389
37	90	385
38	92	380
39	94	376
40	95	371
41	97	366
42	99	362
43	100	357
44	102	353
45	104	349
46	106	345
47	107	340
48	109	336
49	111	333
50	112	329
51	114	325
52	116	321
53	117	318
54	119	314
55	121	311
56	122	308
57	124	305
58	127	303
59	128	300
60	130	297
61	132	294
62	134	292
63	136	289
64	137	286
65	139	283
66	141	280
67	142	277
68	145	275
69	146	272
70	148	269
71	150	267
72	151	264
73	153	261
74	155	258
75	157	256
76	158	253
77	161	252
78	162	249
79	165	247
80	170	250
81	172	248
82	174	245
83	176	243
84	178	240
85	179	238
86	181	235
87	183	233
88	184	230
89	186	228
90	188	225
91	190	223
92	192	220
93	193	218
94	195	215
95	196	213
96	198	210
97	199	208
98	201	205
99	203	203
100	204	200
101	206	198
102	208	196
103	210	194
104	211	191
105	213	189
106	215	187
107	217	185
108	220	183
109	222	182
110	224	179
111	225	177
112	227	175
113	229	173
114	231	171
115	233	168
116	235	166
117	236	164
118	238	162
119	240	160
120	242	158
121	244	156
122	245	153
123	248	152
124	249	149
125	252	148
126	254	146
127	255	143
128	257	141
129	259	139
130	260	137
131	262	135
132	264	133
133	266	131
134	267	128
135	269	126
136	271	124
137	272	122
138	274	120
139	276	118
140	278	116
141	279	114
142	281	112
143	283	110
144	285	108
145	286	105
146	287	103
147	289	101
148	291	99
149	292	97
150	294	95
151	296	93
152	297	91
153	299	89
154	301	87
155	303	85
156	305	83
157	307	81
158	308	79
159	310	77
160	312	75
161	314	73
162	315	71
163	317	69
164	319	67
165	320	65
166	323	63
167	324	61
168	326	59
169	329	58
170	330	56
171	332	54
172	334	52
173	335	50
174	337	48
175	338	46
176	340	44
177	342	42
178	344	40
179	345	38
180	347	36
181	349	34
182	350	32
183	352	30
184	353	28
185	355	26
186	357	24
187	358	22
188	361	21
189	363	19
190	365	17
191	366	15
192	368	13
193	370	11
194	371	9
195	373	7
196	375	5
197	377	3
198	378	1
199	381	0
